,,2024,2023 2022,"PCAF data
score (2)
(2024)"
Oil and gas,Scope 1 & 2 (3),2.1,2.6 3.0,2.8
,Scope 3 (4),38.8,42.9 45.5,4.4
Power generation,Scope 1 & 2 (5),1.0,1.0 1.7,3.9
Manufacturing,Scope 1 & 2 (6),0.01,0.01 0.01,2.0
,Scope 3 (7),0.2,0.4 0.4,4.0
,Scope 1 & 2 (8),1.8,1.2 n.a.,4.0
