"Total Scope 1 & 2 (market-based)
and Scope 3 (business travel)
emissions (tonnes of COe)
2","50,322 tonnes by
2025","60,368","70,931","83,993"
,"70% reduction by
2025 (8)",(63)%,(57)%,(49)%
"Percentage of electricity from
renewable sources (%) (9)",100% by 2025,100%,58%,16%
