0,1,2,3,4
,,,,
Community investments,,,,
"(cumulative, $ million)",$100 million by 2025,$90,$61,$40
,,,,
,,,,
Climate investment commitments,$1 billion to support,,,
"(cumulative, $ million) (5)",climate solutions by,,,
,2030 (6),$167,$145,$95
,,,,
