,2024,2023 2022,
Overall,81,82,82
Men,82,82 82,
Women,81,82 82,
BIPOC (1),81,82 82,
White (1),83,84 84,
Indigenous (1),82,80 83,
Persons with Disabilities (1),77,77 77,
LGBTQ+ (1),79,81 80,
